,event_type,sub_event_type,assoc_actor_1,latitude,longitude,notes,month
156021,Protests,Peaceful protest,Women (Pakistan); Muslim Group (Pakistan),30.1999,67.0097,"On 3 February 2023, members of the Muslim Women League Balochistan (MWL) held a protest demonstration outside the press club in Quetta city (Quetta, Balochistan), condemning the desecration of the Quran (Holy Book) in Sweden.",2023-02
156266,Protests,Peaceful protest,PTI: Pakistan Tehreek-i-Insaf; Women (Pakistan); PWF: Pakistan Workers Federation; Labor Group (Pakistan); APCA: All Pakistan Clerks Association,30.1999,67.0097,"On 2 February 2023, activists of APCA, PTI (Women Wing) and Pakistan Workers Federation Balochistan held separate protest demonstrations at the press club in Quetta city (Quetta, Balochistan), against unemployment, increase in price of daily use products and inflation.",2023-02
156637,Protests,Peaceful protest,NLF: National Labour Federation; Labor Group (Pakistan),30.1999,67.0097,"On 31 January 2023, members of the Balochistan Labour Federation held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), against unemployment, increase in the price of daily use products and inflation.",2023-01
156818,Protests,Peaceful protest,PKMAP: Pashtunkhwa Milli Awami Party,30.1999,67.0097,"On 30 January 2023, members of the Pakhtunkhwa Milli Awami Party held a protest demonstration in Quetta city (Quetta, Balochistan), against the shortage of gas.",2023-01
156820,Protests,Peaceful protest,AWP: Awami Workers Party,30.1999,67.0097,"On 30 January 2023, activists of AWP held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), against flour crisis and inflation.",2023-01
157216,Protests,Peaceful protest,TLP: Tehreek-e-Labbaik Pakistan; Muslim Group (Pakistan),30.1999,67.0097,"On 28 January 2023, activists of TLP held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), condemning the desecration of the Quran (Holy Book) in Sweden.",2023-01
157424,Protests,Peaceful protest,JI: Jamaat-e-Islami; Muslim Group (Pakistan),30.1999,67.0097,"On 27 January 2023, a large number of activists of JI held a protest demonstration in Quetta city (Quetta, Balochistan), condemning the desecration of the Quran (Holy Book) in Sweden.",2023-01
157563,Protests,Peaceful protest,PFUJ: Pakistan Federal Union of Journalists; Journalists (Pakistan),30.1999,67.0097,"On 26 January 2023, journalists and members of the PFUJ and Balochistan Union of Journalists (BUJ) held a protest demonstration outside the press club in Quetta city (Quetta, Balochistan), against anti-media policies and withdrawal of false cases against the journalists.",2023-01
157799,Protests,Peaceful protest,,30.1999,67.0097,"On 25 January 2023, members of the Balochistan Martyrs Forum held a protest demonstration in Quetta city (Quetta, Balochistan), for the acceptance of their demands. No further details reported.",2023-01
157800,Protests,Peaceful protest,PTM: Pashtun Protection Movement; Pashtun Ethnic Group (Pakistan),30.1999,67.0097,"On 25 January 2023, members of the Pashtun Protection Movement held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), for the acceptance of their demands. No further details reported.",2023-01
158685,Protests,Peaceful protest,HDT: Haq Do Movement,30.1999,67.0097,"On 20 January 2023, members of the Haq Do Tehreek (Give Rights to Quetta Movement) held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), against the arrest of a boxer.",2023-01
158814,Protests,Peaceful protest,APWHEWU: All Pakistan WAPDA Hydro Electric Workers Union; Labor Group (Pakistan),30.1999,67.0097,"On 19 January 2023, members of the All Pakistan Wapda Hydro Electric Workers Union (CBA) held a protest demonstration at the press club in Quetta city (Quetta, KPK), against privatization.",2023-01
158983,Protests,Peaceful protest,PKMAP: Pashtunkhwa Milli Awami Party,30.1999,67.0097,"On 18 January 2023, activists of PKMAP held a protest demonstration in different places in Quetta city (Quetta, Balochistan), against shortage of gas and low gas pressure.",2023-01
159157,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal,30.1999,67.0097,"On 17 January 2023, activists of Balochistan National Party (BNP-M) and residents held a protest demonstration outside Sui Southern Gas Company (SSGC) Office in Quetta city (Quetta, Balochistan), against prolonged sui gas load shedding.",2023-01
159158,Protests,Peaceful protest,NDM: National Democratic Party,30.1999,67.0097,"On 17 January 2023, members of the National Democratic Movement held a protest at the press club in Quetta city (Quetta, Balochistan), against the killing of a lawyer at the Bar room in Peshawar High Court.",2023-01
159380,Protests,Peaceful protest,APCA: All Pakistan Clerks Association; Labor Group (Pakistan),30.1999,67.0097,"On 16 January 2023, members of the All Pakistan Clerks Association (APCA) held protest demonstration at the press club in Quetta city (Quetta, Balochistan), for the acceptance of their demands. No further details reported.",2023-01
159381,Protests,Peaceful protest,PKMAP: Pashtunkhwa Milli Awami Party,30.1999,67.0097,"On 16 January 2023, activists of Pakhtunkhwa Milli Awami Party (PKMAP) held a protest demonstration outside Sui Southern Gas Company (SSGC) Office in Quetta city (Quetta, Balochistan), against prolonged sui gas load shedding.",2023-01
159593,Protests,Peaceful protest,Sunni Muslim Group (Pakistan),30.1999,67.0097,"On 15 January 2023, members of the Sunni Ulema Council held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), for the acceptance of their demands. No further details reported.",2023-01
159599,Riots,Violent demonstration,,30.1999,67.0097,"On 15 January 2023, locals held a demonstration and burned tires at Gwalmandi chowk in Quetta city (Quetta, Balochistan), against shortage of gas.",2023-01
159868,Protests,Peaceful protest,,25.1216,62.3254,"On 13 January 2023, locals held a protest demonstration in Gwadar city (Gwadar, Gilgit Baltistan), against inflation and demanding basic necessities of life.",2023-01
160034,Protests,Peaceful protest,PKMAP: Pashtunkhwa Milli Awami Party,30.1999,67.0097,"On 12 January 2023, activists of PKMAP (Khushal group) held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), against inflation and increase in prices of essential commodities.",2023-01
160038,Protests,Peaceful protest,PML-N: Pakistan Muslim League-Nawaz,25.0434,66.8187,"On 12 January 2023, locals and activists of PML-N held a protest demonstration in Hub town (Las Bela, Balochistan), after the deputy commissioner slapped a political worker for protesting outside his office.",2023-01
160607,Protests,Peaceful protest,Teachers (Pakistan); Labor Group (Pakistan),30.1999,67.0097,"On 9 January 2023, professors and employees at the University of Balochistan led a protest rally chanting slogans from Art Block to the main gate at Sariab Road in Quetta city (Balochistan) against delayed salaries and the university's financial problems.",2023-01
160608,Protests,Peaceful protest,,30.1999,67.0097,"On 9 January 2023, locals held a protest demonstration in Quetta city (Quetta, Balochistan), against the shortage of flour.",2023-01
160616,Protests,Peaceful protest,Teachers (Pakistan); Labor Group (Pakistan),30.1999,67.0097,"On 9 January 2023, faculty members and employees of the University of Balochistan held a protest demonstration at Sariab road in Quetta city (Quetta, Balochistan), demanding their salaries.",2023-01
160932,Protests,Peaceful protest,Students (Pakistan),30.1999,67.0097,"On 7 January 2023, members of the Students Action Committee (SAC) held a protest demonstration outside the press club in Quetta city (Quetta, Balochistan), against the transfer of a professor.",2023-01
160935,Protests,Peaceful protest,,28.8884,64.4061,"On 7 January 2023, locals, family members and relatives held a protest demonstration in Dalbandin town (Chagai, Balochistan), demanding arrest of the assailants for killing a man.",2023-01
160937,Protests,Peaceful protest,PTI: Pakistan Tehreek-i-Insaf,25.0434,66.8187,"On 7 January 2023, activists of PTI held a protest demonstration in Hub town (Las Bela, Balochistan), against inflation and unemployment.",2023-01
160965,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); IVBMP: International Voice For Baloch Missing Persons,25.0434,66.8187,"On 7 January 2023, relatives and members of the Voice for Baloch Missing Persons held a protest demonstration in Hub town (Las Bela, Balochistan), demanding recovery of their relatives.",2023-01
161108,Protests,Peaceful protest,PTI: Pakistan Tehreek-i-Insaf,30.1999,67.0097,"On 6 January 2023, members of the Insaf Youth Wing Balochistan (wing of PTI) held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), against prolonged sui gas and electricity load shedding in the city.",2023-01
161109,Protests,Peaceful protest,PTI: Pakistan Tehreek-i-Insaf,30.1999,67.0097,"On 6 January 2023, activists of PTI held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), against inflation and unemployment.",2023-01
161257,Riots,Violent demonstration,,30.1999,67.0097,"On 5 January 2023, residents held a demonstration and burned tires in Quetta city (Quetta, Balochistan), against prolonged sui gas load shedding.",2023-01
161348,Protests,Peaceful protest,Women (Pakistan),29.0266,66.5936,"On 5 January 2023, women and children held a protest demonstration in Kalat town (Kalat, Balochistan), against unannounced electricity and gas load shedding.",2023-01
161436,Protests,Peaceful protest,,30.1999,67.0097,"On 4 January 2023, members of the Tehreek-e-Khidmat-e-Pakistan (local group) held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), for the future of the youths.",2023-01
161617,Protests,Peaceful protest,Labor Group (Pakistan),30.1999,67.0097,"On 3 January 2023, members of the All Balochistan Municipal Workers Association (local group) held a protest demonstration in the premises of Quetta Metropolitan Corporation in Quetta city (Quetta, Balochistan), demanding their salaries.",2023-01
161622,Protests,Peaceful protest,Teachers (Pakistan),30.1999,67.0097,"On 3 January 2023, members of the Balochistan Professors and Lecturers Association (local group) held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), for acceptance of their demands. No further details reported.",2023-01
161954,Riots,Violent demonstration,Labor Group (Pakistan),30.1531,68.5732,"On 1 January 2023, hundreds of coal mine contractors held a demonstration and burned tires in Manday Tack area in Duki district (Loralai, Balochistan), against the extortion of money from the coal miners.",2023-01
162234,Protests,Peaceful protest,Pashtun Ethnic Group (Pakistan); Students (Pakistan),30.1999,67.0097,"On 30 December 2022, members of the Pashtun Students Federation (PSF) Balochistan held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), against weapons in the educational institutions.",2022-12
162363,Protests,Peaceful protest,JUI-F: Jamiat Ulema-e-Islam-Fazl,25.1216,62.3254,"On 29 December 2022, hundreds of locals and activists of JUI-F held a protest demonstration in Gwadar city (Gwadar, Balochistan), as part of the Gwadar Ko Huqooq Do Tehreek (Give Rights to Gwadar Movement) demanding rights for the people of Gwadar, clean drinking water, end to fishing trawlers and demanded release of over 100 arrested demonstrators.",2022-12
162365,Protests,Peaceful protest,Teachers (Pakistan),30.1999,67.0097,"On 29 December 2022, members of the Balochistan Professors and Lecturers Association (local group) held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), against the monetary crisis in Balochistan University.",2022-12
162517,Riots,Violent demonstration,,25.1216,62.3254,"On 28 December 2022, locals held a demonstration in Gwadar city (Gwadar, Balochistan), as part of the Gwadar Ko Huqooq Do Tehreek (Give Rights to Gwadar Movement) demanding rights for the people of Gwadar, clean drinking water and end to fishing trawlers. The police and demonstrators clashed as the demonstrators threw rocks and set the main gate of the police complex on fire. Police personnel retaliated by firing tear gas and arrested over a dozen demonstrators.",2022-12
162560,Protests,Peaceful protest,JI: Jamaat-e-Islami,25.1216,62.3254,"On 28 December 2022, activists of JI held a protest demonstration in Gwadar city (Gwadar, Balochistan), against the use of force to disperse protestors of Gwadar sit-in (coded as separate events).",2022-12
162680,Protests,Peaceful protest,,25.0434,66.8187,"On 27 December 2022, residents held a protest demonstration in Hub town (Las Bela, Balochistan), against non-development work in their area by the local administration.",2022-12
162681,Protests,Peaceful protest,,30.1999,67.0097,"On 27 December 2022, members of the Quetta Development Mahaz (QDM) (local group) held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), for peace, education and development in the city.",2022-12
162682,Protests,Peaceful protest,,25.0434,66.8187,"On 27 December 2022, relatives held a protest demonstration in Hub town (Las Bela, Balochistan), demanding recovery of their relative missing since four years.",2022-12
162683,Riots,Violent demonstration,,25.1216,62.3254,"On 27 December 2022, locals held a demonstration in Gwadar city (Gwadar, Balochistan), as part of the Gwadar Ko Huqooq Do Tehreek (Give Rights to Gwadar Movement) demanding rights for the people of Gwadar, clean drinking water and end to fishing trawlers. The police and demonstrators clashed, a police personnel was killed during the clash, police also arrested demonstrators.",2022-12
162840,Protests,Peaceful protest,,26.0258,63.7178,"On 26 December 2022, residents of Tijaban area blocked the CPEC route to protest at Tijaban town (Kech, Balochistan) over the indiscriminate firing of Pakistan army during a clash with separatists (coded in a separate event) in which a woman was injured and several houses damaged.",2022-12
162846,Protests,Protest with intervention,,25.1216,62.3254,"On 26 December 2022, locals held a demonstration in Gwadar city (Gwadar, Balochistan), as part of the Gwadar Ko Huqooq Do Tehreek (Give Rights to Gwadar Movement) demanding rights for the people of Gwadar, clean drinking water and end to fishing trawlers. The demonstrators besieged the residence of the deputy commissioner and other offices. Police lobbed tear gas shells and fired shots to disperse the mob. The demonstration is ongoing as of 28 December.",2022-12
163164,Protests,Peaceful protest,Women (Pakistan); Labor Group (Pakistan); Students (Pakistan),30.1999,67.0097,"On 24 December 2022, a large number of workers, students including girls and members of the National Democratic Party (NDP) took out a protest demonstration in front of the press club in Quetta city (Quetta, Balochistan), against the decision of the Afghan government against the ban on education for girls.",2022-12
163165,Protests,Peaceful protest,,25.1216,62.3254,"On 24 December 2022, locals held a protest demonstration in Gwadar city (Gwadar, Balochistan), as part of the Gwadar Ko Huqooq Do Tehreek (Give Rights to Gwadar Movement) demanding rights for the people of Gwadar, clean drinking water and end to fishing trawlers.",2022-12
163166,Protests,Peaceful protest,Afghan Communal Group (Pakistan),30.1999,67.0097,"On 24 December 2022, members of the Afghan community held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), for the acceptance of their demands. No further details reported.",2022-12
163476,Protests,Peaceful protest,Labor Group (Pakistan),30.1999,67.0097,"On 22 December 2022, members of the All Balochistan Municipal Workers Association (local group) held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), demanding their salaries.",2022-12
163786,Protests,Peaceful protest,,30.1999,67.0097,"On 20 December 2022, members of the Quetta Metropolitan Corporation (QMC) held a protest demonstration in Quetta city (Quetta, Balochistan), demanding acceptance of their demands. No further details reported.",2022-12
164165,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; NP: National Party,30.1999,67.0097,"On 18 December 2022, activists of BNP-M and National party took out a protest rally in Quetta city (Quetta, Balochistan), against the bill passed on the Reko Diq Copper-gold project and demanded recognition of sovereignty and rights of the Baloch people over the coastline of Balochistan.",2022-12
164167,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; NP: National Party,28.6463,68.1562,"On 18 December 2022, activists of BNP-M and National party took out a protest rally in Naseerabad town (Nasirabad, Balochistan), against the bill passed on the Reko Diq Copper-gold project and demanded recognition of sovereignty and rights of the Baloch people over the coastline of Balochistan.",2022-12
164168,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; NP: National Party,29.7945,66.7206,"On 18 December 2022, activists of BNP-M and National party took out a protest rally in Mastung town (Mastung, Balochistan), against the bill passed on the Reko Diq Copper-gold project and demanded recognition of sovereignty and rights of the Baloch people over the coastline of Balochistan.",2022-12
164169,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; NP: National Party,28.5187,68.5407,"On 18 December 2022, activists of BNP-M and National party took out a protest rally in Sohbatpur town (Sohbatpur, Balochistan), against the bill passed on the Reko Diq Copper-gold project and demanded recognition of sovereignty and rights of the Baloch people over the coastline of Balochistan.",2022-12
164170,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; NP: National Party,29.8683,67.3224,"On 18 December 2022, activists of BNP-M and National party took out a protest rally in Mach town (Kachhi, Balochistan), against the bill passed on the Reko Diq Copper-gold project and demanded recognition of sovereignty and rights of the Baloch people over the coastline of Balochistan.",2022-12
164171,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; NP: National Party,28.8884,64.4061,"On 18 December 2022, activists of BNP-M and National party took out a protest rally in Dalbandin town (Chagai, Balochistan), against the bill passed on the Reko Diq Copper-gold project and demanded recognition of sovereignty and rights of the Baloch people over the coastline of Balochistan.",2022-12
164172,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; NP: National Party,28.3009,68.1908,"On 18 December 2022, activists of BNP-M and National party took out a protest rally in Jaffarabad town (Jaffarabad, Balochistan), against the bill passed on the Reko Diq Copper-gold project and demanded recognition of sovereignty and rights of the Baloch people over the coastline of Balochistan.",2022-12
164217,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; NP: National Party,29.0266,66.5936,"On 18 December 2022, activists of BNP-M and National party took out a protest rally in Kalat town (Kalat, Balochistan), against the bill passed on the Reko Diq Copper-gold project and demanded recognition of sovereignty and rights of the Baloch people over the coastline of Balochistan.",2022-12
164227,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 18 December 2022, residents and families staged a protest in Turbat town (Kech, Balochistan) agaisnt the forced disappearance of two Baloch students from the area (coded in a separate event). The protest is ongoing as of 21 December 2022.",2022-12
164264,Protests,Peaceful protest,BNP-M: Balochistan National Party-Mengal; NP: National Party,29.5521,66.0228,"On 18 December 2022, activists of BNP-M and National party took out a protest rally in Nushki town (Nushki, Balochistan), against the bill passed on the Reko Diq Copper-gold project and demanded recognition of sovereignty and rights of the Baloch people over the coastline of Balochistan.",2022-12
164301,Protests,Peaceful protest,NP: National Party,30.1999,67.0097,"On 17 December 2022, activists of National Party took out a protest rally in a big number in Quetta city (Quetta, Balochistan), against the sale of resources of Balochistan without the approval of the owners of the natural resources.",2022-12
164302,Riots,Violent demonstration,,28.8263,62.751,"On 17 December 2022, family members and relatives held a demonstration and burned tires in Nok Kundi town (Chagai, Balochistan), demanding justice after a man and his daughter died in a road accident.",2022-12
164443,Protests,Peaceful protest,Pashtun Ethnic Group (Pakistan),30.1999,67.0097,"On 16 December 2022, members of the Afridi Ittehad Social Organization (local group) held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), demanding recovery of their missing community member.",2022-12
164445,Protests,Peaceful protest,PKMAP: Pashtunkhwa Milli Awami Party,30.1999,67.0097,"On 16 December 2022, activists of Pakhtunkhwa Milli Awami Party (PKMAP) held a protest demonstration at Bacha Khan chowk in Quetta city (Quetta, Balochistan), demanding release of their party activist.",2022-12
164446,Protests,Peaceful protest,MWM: Majlis Wahdat-e-Muslimeen; Shiite Muslim Group (Pakistan),30.1999,67.0097,"On 16 December 2022, activists of MWM held a protest demonstration on Mikangi road in Quetta city (Quetta, Balochistan), demanding release of their party leader.",2022-12
164684,Protests,Peaceful protest,Labor Group (Pakistan),30.1999,67.0097,"On 15 December 2022, employees of WASA held a protest demonstration on Abdul Sattar Edhi Chowk near Zarghoon road in Quetta city (Quetta, Balochistan), demanding their salaries.",2022-12
164866,Protests,Peaceful protest,Labor Group (Pakistan),30.1999,67.0097,"On 14 December 2022, members of the All Balochistan Clerks and Technical Employees Association and Quetta Metropolitan Corporation Unit held a protest demonstration in Quetta city (Quetta, Balochistan), demanding their salaries.",2022-12
165210,Protests,Peaceful protest,PKMAP: Pashtunkhwa Milli Awami Party,30.3705,68.5979,"On 12 December 2022, a large number of PKMAP members gathered to protest outside the DHQ Hospital in Loralai city (Balochistan) against the killing of their local leader (coded in a separate event) demanding arrest of the assailants.",2022-12
165406,Protests,Peaceful protest,,30.1999,67.0097,"On 11 December 2022, residents held a protest demonstration in Quetta city (Quetta, Balochistan), against gas load shedding.",2022-12
165407,Protests,Peaceful protest,,29.5511,67.8322,"On 11 December 2022, residents held a protest demonstration in Sibi city (Sibi, Balochistan), against gas load shedding.",2022-12
165408,Protests,Peaceful protest,,28.9876,63.5908,"On 11 December 2022, residents held a protest demonstration in Chagai city (Chagai, Balochistan), against gas load shedding.",2022-12
165409,Protests,Peaceful protest,,29.0353,69.1595,"On 11 December 2022, residents held a protest demonstration in Dera Bugti city (Dera Bugti, Balochistan), against gas load shedding.",2022-12
165410,Protests,Peaceful protest,,30.1007,67.9382,"On 11 December 2022, residents held a protest demonstration in Harnai city (Harnai, Balochistan), against gas load shedding.",2022-12
165411,Protests,Peaceful protest,,27.7383,66.6433,"On 11 December 2022, residents held a protest demonstration in Khuzdar city (Khuzdar, Balochistan), against gas load shedding.",2022-12
165412,Protests,Peaceful protest,,27.7182,64.8048,"On 11 December 2022, residents held a protest demonstration in Washuk city (Washuk, Balochistan), against gas load shedding.",2022-12
165413,Protests,Peaceful protest,,31.0816,68.1018,"On 11 December 2022, residents held a protest demonstration in Changi town (Killa Saifullah, Balochistan), against gas load shedding.",2022-12
165414,Protests,Peaceful protest,,31.3417,69.4287,"On 11 December 2022, residents held a protest demonstration in Zhob city (Zhob, Balochistan), against gas load shedding.",2022-12
165415,Protests,Peaceful protest,,30.3838,67.7199,"On 11 December 2022, residents held a protest demonstration in Ziarat city (Ziarat, Balochistan), against gas load shedding.",2022-12
165416,Protests,Peaceful protest,,29.0415,67.8239,"On 11 December 2022, residents held a protest demonstration in Bhag town (Lehri, Balochistan), against gas load shedding.",2022-12
165417,Protests,Peaceful protest,,30.5802,66.9961,"On 11 December 2022, residents held a protest demonstration in Pishin city (Pishin, Balochistan), against gas loadshedding.",2022-12
165418,Protests,Peaceful protest,,28.6132,67.4856,"On 11 December 2022, residents held a protest demonstration in Gandava town (Jhal Magsi, Balochistan), against gas load shedding.",2022-12
165419,Protests,Peaceful protest,,29.7945,66.7206,"On 11 December 2022, residents held a protest demonstration in Mastung city (Mastung, Balochistan), against gas load shedding.",2022-12
165420,Protests,Peaceful protest,,29.5399,67.876,"On 11 December 2022, residents held a protest demonstration in Tilli town (Sibi, Balochistan), against gas loadshedding.",2022-12
165483,Protests,Peaceful protest,,28.4783,66.8986,"On 11 December 2022, residents held a protest demonstration in Zehri town (Khuzdar, Balochistan), against gas load shedding.",2022-12
165494,Protests,Peaceful protest,,26.4567,65.2314,"On 11 December 2022, residents held a protest demonstration in Awaran city (Awaran, Balochistan), against gas load shedding.",2022-12
165503,Protests,Peaceful protest,,29.0266,66.5936,"On 11 December 2022, residents held a protest demonstration in Kalat city (Kalat, Balochistan), against gas load shedding.",2022-12
165516,Protests,Peaceful protest,,26.9817,64.1166,"On 11 December 2022, residents held a protest demonstration in Panjgur city (Panjgur, Balochistan), against gas load shedding.",2022-12
165534,Protests,Peaceful protest,,29.8984,66.7402,"On 11 December 2022, residents held a protest demonstration in Kanak town (Mastung, Balochistan), against gas loadshedding.",2022-12
165543,Protests,Peaceful protest,,29.5521,66.0228,"On 11 December 2022, residents held a protest demonstration in Nushki city (Nushki, Balochistan), against gas load shedding.",2022-12
165658,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); Students (Pakistan),26.0001,63.0527,"On 10 December 2022, Baloch Student Action Committee held a protest rally in Turbat city (Kech, Balochistan) against the burning of schools in Balochistan.",2022-12
165766,Protests,Peaceful protest,,30.1999,67.0097,"On 9 December 2022, locals took out a protest rally in Quetta city (Quetta, Balochistan), against the shortage of gas.",2022-12
165767,Protests,Peaceful protest,,29.9053,69.0885,"On 9 December 2022, locals took out a protest rally in Kohlu city (Kohlu, Balochistan), against the shortage of gas.",2022-12
165768,Protests,Peaceful protest,,28.9876,63.5908,"On 9 December 2022, locals took out a protest rally in Chagai city (Chagai, Balochistan), against the shortage of gas.",2022-12
165769,Protests,Peaceful protest,,29.0353,69.1595,"On 9 December 2022, locals took out a protest rally in Dera Bugti city (Dera Bugti, Balochistan), against the shortage of gas.",2022-12
165770,Protests,Peaceful protest,,30.1007,67.9382,"On 9 December 2022, locals took out a protest rally in Harani city (Harnai, Balochistan), against the shortage of gas.",2022-12
165771,Protests,Peaceful protest,,27.7383,66.6433,"On 9 December 2022, locals took out a protest rally in Khuzdar city (Khuzdar, Balochistan), against the shortage of gas.",2022-12
165772,Protests,Peaceful protest,,27.7182,64.8048,"On 9 December 2022, locals took out a protest rally in Washuk city (Washuk, Balochistan), against the shortage of gas.",2022-12
165773,Protests,Peaceful protest,,29.7945,66.7206,"On 9 December 2022, locals took out a protest rally in Mastung city (Mastung, Balochistan), against the shortage of gas.",2022-12
165774,Protests,Peaceful protest,,29.5511,67.8322,"On 9 December 2022, locals took out a protest rally in Sibi city (Sibi, Balochistan), against the shortage of gas.",2022-12
165775,Protests,Peaceful protest,,30.5802,66.9961,"On 9 December 2022, locals took out a protest rally in Pishin city (Pishin, Balochistan), against the shortage of gas.",2022-12
165776,Protests,Peaceful protest,,31.3417,69.4287,"On 9 December 2022, locals took out a protest rally in Zhob city (Zhob, Balochistan), against the shortage of gas.",2022-12
165777,Protests,Peaceful protest,,30.3838,67.7199,"On 9 December 2022, locals took out a protest rally in Ziarat city (Ziarat, Balochistan), against the shortage of gas.",2022-12
165778,Protests,Peaceful protest,,29.0415,67.8239,"On 9 December 2022, locals took out a protest rally in Bhag town (Lehri, Balochistan), against the shortage of gas.",2022-12
165779,Protests,Peaceful protest,,30.728,66.6612,"On 9 December 2022, locals took out a protest rally in Qilla Abdullah city (Killa Abdullah, Balochistan), against the shortage of gas.",2022-12
165780,Protests,Peaceful protest,,28.5467,68.223,"On 9 December 2022, locals took out a protest rally in Dera Murad Jamali town (Nasirabad, Balochistan), against the shortage of gas.",2022-12
165781,Protests,Peaceful protest,,28.5187,68.5407,"On 9 December 2022, locals took out a protest rally in Sohbatpur city (Sohbatpur, Balochistan), against the shortage of gas.",2022-12
165782,Protests,Peaceful protest,,28.9783,67.4443,"On 9 December 2022, locals took out a protest rally in Hafat Wali town (Kachhi, Balochistan), against the shortage of gas.",2022-12
165783,Protests,Peaceful protest,,28.6132,67.4856,"On 9 December 2022, locals took out a protest rally in Gandava town (Jhal Magsi, Balochistan), against the shortage of gas.",2022-12
165825,Protests,Peaceful protest,,28.1797,68.0448,"On 9 December 2022, locals took out a protest rally in Usta Muhammad city (Jaffarabad, Balochistan), against the shortage of gas.",2022-12
165846,Protests,Peaceful protest,,26.4567,65.2314,"On 9 December 2022, locals took out a protest rally in Awaran city (Awaran, Balochistan), against the shortage of gas.",2022-12
165858,Protests,Peaceful protest,,29.0266,66.5936,"On 9 December 2022, locals took out a protest rally in Kalat city (Kalat, Balochistan), against the shortage of gas.",2022-12
165875,Protests,Peaceful protest,,26.9817,64.1166,"On 9 December 2022, locals took out a protest rally in Panjgur city (Panjgur, Balochistan), against the shortage of gas.",2022-12
165876,Protests,Peaceful protest,,29.1826,68.2114,"On 9 December 2022, locals took out a protest rally in Lehri city (Lehri, Balochistan), against the shortage of gas.",2022-12
165918,Protests,Peaceful protest,,29.5521,66.0228,"On 9 December 2022, locals took out a protest rally in Nushki city (Nushki, Balochistan), against the shortage of gas.",2022-12
165953,Protests,Peaceful protest,Labor Group (Pakistan),30.1999,67.0097,"On 8 December 2022, members of the All Balochistan Municipal Workers Association (local group) held a protest demonstration at the press club in Quetta city (Quetta, Balochistan), against non-payment of their salaries.",2022-12
166002,Protests,Peaceful protest,,28.8884,64.4061,"On 8 December 2022, locals and relatives of a young man killed suspectedly by Jaish-ul Adl (coded in a separate event) staged a protest at the Dalbandin RCD Highway in Dalbandin (Chagai, Balochistan) accusing JuA and demanding action to be taken against the group.",2022-12
166154,Protests,Peaceful protest,JI: Jamaat-e-Islami,25.1216,62.3254,"On 7 December 2022, locals along with activists of JI held a protest demonstration in Gwadar city (Gwadar, Balochistan), as part of the Gwadar Ko Huqooq Do Tehreek (Give Rights to Gwadar Movement), against illegal deep-sea fishing.",2022-12
166221,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); Students (Pakistan),25.8277,66.6227,"On 7 December 2022, Baloch students under the Baloch Students Action Committee staged a protest rally with banners and placards at Uthal town (Las Bela, Balochistan) against a wave of burning of schools by unidentified actors.",2022-12
166362,Protests,Peaceful protest,Labor Group (Pakistan),30.1999,67.0097,"On 6 December 2022, members of the All Balochistan Municipal Workers Association (local group) held a protest demonstration in Quetta city (Quetta, Balochistan), for the acceptance of their demands. No further details reported.",2022-12
166366,Riots,Violent demonstration,,30.1999,67.0097,"On 6 December 2022, residents of Quetta city staged a demonstration chanting slogans and burning tires outside the Sui Southern Gas Comany at Samungli road in Quetta city (Balochistan) against gas load-shedding.",2022-12
166593,Protests,Peaceful protest,Labor Group (Pakistan),30.1999,67.0097,"On 5 December 2022, members of the All Balochistan Municipal Workers Association (local group) held a protest demonstration in Quetta city (Quetta, Balochistan), for the acceptance of their demands. No further details reported.",2022-12
